Arrival Date,F_Governorate_En,F_District_En,F_Sub-District_En,F_Community_En,T_Governorate_En,T_District_En,T_Sub-District_En,T_Community_En,T_Camp_En,New Arrivals (Ind),New Arrivals (HH),Most common shelter type for new arrivals,Most common tenancy arrangement for new arrivals,1st priority need of IDPs arriving during the coverage period,2nd priority need of IDPs arriving during the coverage period,3rd priority need of IDPs arriving during the coverage period,F_Governorate_PCODE,F_District_PCODE,F_Sub-District_PCODE,F_Community_PCODE,T_Governorate_PCODE,T_District_PCODE,T_Sub-District_PCODE,T_Community_PCODE,T_Camp_PCODE
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,A'zaz,Aghtrin,Akhtrein,,16,3,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0202,SY020200,,SY02,SY0204,SY020401,C1581,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,A'zaz,Aghtrin,Akhtrein,,30,6,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0203,SY020300,,SY02,SY0204,SY020401,C1581,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Aghtrin,Akhtrein,,51,10,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0204,SY020400,,SY02,SY0204,SY020401,C1581,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Akhtrein,,22,4,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1581,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,A'zaz,Aghtrin,Baruz,,14,3,Solid_finished_houses_apartments,,NFI,Cash,Food,SY02,SY0203,SY020300,,SY02,SY0204,SY020401,C1582,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Aghtrin,Baruz,,18,4,Solid_finished_houses_apartments,,NFI,Cash,Food,SY02,SY0204,SY020400,,SY02,SY0204,SY020401,C1582,
1-31 December,Aleppo,Al Bab,Ar-Ra'ee,,Aleppo,A'zaz,Aghtrin,Bleikha,,15,3,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0202,SY020203,,SY02,SY0204,SY020401,C1583,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Abla,,34,7,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1584,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Hardana (Aghtrin),,15,3,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1585,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,A'zaz,Aghtrin,Oweilin,,14,3,Solid_finished_houses_apartments,,Health,Winterization,Cash,SY02,SY0208,SY020801,,SY02,SY0204,SY020401,C1587,
1-31 December,Aleppo,A'zaz,Suran,,Aleppo,A'zaz,Aghtrin,Sandara,,34,7,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0204,SY020405,,SY02,SY0204,SY020401,C1588,
1-31 December,Aleppo,Al Bab,Ar-Ra'ee,,Aleppo,A'zaz,Aghtrin,Tal Sheer Aazaz,,13,3,Solid_finished_houses_apartments,,Food,Winterization,Livelihoods,SY02,SY0202,SY020203,,SY02,SY0204,SY020401,C1592,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Eastern Tal Aar,,20,4,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1594,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,A'zaz,Aghtrin,Western Tal Aar,,25,5,Solid_finished_houses_apartments,,Food,NFI,Livelihoods,SY02,SY0208,SY020800,,SY02,SY0204,SY020401,C1595,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Aghtrin,Dabeq,,20,4,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0204,SY020400,,SY02,SY0204,SY020401,C1597,
1-31 December,Aleppo,A'zaz,Suran,,Aleppo,A'zaz,Aghtrin,Dabeq,,45,9,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0204,SY020405,,SY02,SY0204,SY020401,C1597,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Masudiyeh (Aghtrin),,14,2,Solid_finished_houses_apartments,,Food,Winterization,Livelihoods,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1599,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Jakkeh,,32,7,Solid_finished_houses_apartments,,NFI,Food,Winterization,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1600,
1-31 December,Aleppo,Al Bab,Ar-Ra'ee,,Aleppo,A'zaz,Aghtrin,Eastern Tal Battal,,32,7,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0202,SY020203,,SY02,SY0204,SY020401,C1601,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Ghorur,,14,3,Solid_finished_houses_apartments,,Food,Winterization,Livelihoods,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1603,
1-31 December,Aleppo,Al Bab,Ar-Ra'ee,,Aleppo,A'zaz,Aghtrin,Turkman Bareh,,23,4,Solid_finished_houses_apartments,,Food,NFI,WASH,SY02,SY0202,SY020203,,SY02,SY0204,SY020401,C1605,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Aghtrin,Turkman Bareh,,23,4,Solid_finished_houses_apartments,,Food,NFI,WASH,SY02,SY0204,SY020400,,SY02,SY0204,SY020401,C1605,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Ghoz,,10,2,Solid_finished_houses_apartments,,Food,Cash,Winterization,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1607,
1-31 December,Aleppo,A'zaz,Mare',,Aleppo,A'zaz,Aghtrin,Ghoz,,15,3,Solid_finished_houses_apartments,,Food,Cash,Winterization,SY02,SY0204,SY020403,,SY02,SY0204,SY020401,C1607,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Gheilaniyeh,,14,3,Solid_finished_houses_apartments,,Food,NFI,WASH,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1608,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,A'zaz,Aghtrin,Kaeebeh,,20,4,Solid_finished_houses_apartments,,Food,Winterization,WASH,SY02,SY0202,SY020200,,SY02,SY0204,SY020401,C1609,
1-31 December,Aleppo,A'zaz,Suran,,Aleppo,A'zaz,Aghtrin,Qabtan,,25,4,Solid_finished_houses_apartments,,Food,NFI,WASH,SY02,SY0204,SY020405,,SY02,SY0204,SY020401,C1611,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Qorra Mazraa,,15,3,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1612,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,A'zaz,Aghtrin,Ghaytun,,15,3,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0203,SY020300,,SY02,SY0204,SY020401,C1614,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Aghtrin,Wash,,20,4,Solid_finished_houses_apartments,,Food,NFI,Winterization,SY02,SY0204,SY020400,,SY02,SY0204,SY020401,C1615,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Aghtrin,Qaar Kalbein,,14,3,Solid_finished_houses_apartments,,NFI,Food,Winterization,SY02,SY0204,SY020401,,SY02,SY0204,SY020401,C1616,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Mare',Hiwar Elnahr,,13,3,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY02,SY0204,SY020400,,SY02,SY0204,SY020403,C1636,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,A'zaz,Mare',Mare',,20,4,Solid_finished_houses_apartments,,NFI,Cash,Winterization,SY02,SY0203,SY020300,,SY02,SY0204,SY020403,C1643,
1-31 December,Aleppo,Afrin,Sheikh El-Hadid,,Aleppo,A'zaz,Mare',Mare',,32,7,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY02,SY0203,SY020305,,SY02,SY0204,SY020403,C1643,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Mare',Mare',,24,5,Solid_finished_houses_apartments,,NFI,Cash,Winterization,SY02,SY0204,SY020400,,SY02,SY0204,SY020403,C1643,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Mare',Mare',,23,5,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY02,SY0204,SY020401,,SY02,SY0204,SY020403,C1643,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,A'zaz,Mare',Mare',,29,6,Solid_finished_houses_apartments,,NFI,Cash,Winterization,SY07,SY0700,SY070000,,SY02,SY0204,SY020403,C1643,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,A'zaz,Mare',Mare',,23,5,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0700,SY070000,,SY02,SY0204,SY020403,C1643,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,A'zaz,Suran,Dweibeq,,12,2,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0700,SY070000,,SY02,SY0204,SY020405,C1659,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,A'zaz,Suran,Suran (Suran),,23,5,Solid_finished_houses_apartments,,Winterization,Livelihoods,NFI,SY02,SY0202,SY020200,,SY02,SY0204,SY020405,C1664,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,A'zaz,Suran,Suran (Suran),,23,5,Solid_finished_houses_apartments,,NFI,Livelihoods,Cash,SY02,SY0203,SY020300,,SY02,SY0204,SY020405,C1664,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Suran,Suran (Suran),,9,2,Solid_finished_houses_apartments,,NFI,Livelihoods,Cash,SY02,SY0204,SY020400,,SY02,SY0204,SY020405,C1664,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Suran,Suran (Suran),,19,4,Solid_finished_houses_apartments,,Winterization,Livelihoods,NFI,SY02,SY0204,SY020400,,SY02,SY0204,SY020405,C1664,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Suran,Suran (Suran),,9,2,Solid_finished_houses_apartments,,NFI,Livelihoods,Cash,SY02,SY0204,SY020401,,SY02,SY0204,SY020405,C1664,
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,A'zaz,Suran,Suran (Suran),,9,2,Solid_finished_houses_apartments,,Winterization,Livelihoods,NFI,SY02,SY0204,SY020401,,SY02,SY0204,SY020405,C1664,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,A'zaz,Suran,Ehteimlat,,15,3,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY02,SY0202,SY020200,,SY02,SY0204,SY020405,C1667,
1-31 December,Aleppo,Al Bab,A'rima,,Aleppo,A'zaz,Suran,Ehteimlat,,10,2,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY02,SY0202,SY020206,,SY02,SY0204,SY020405,C1667,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,A'zaz,Suran,Ehteimlat,,19,4,Solid_finished_houses_apartments,,NFI,Food,Winterization,SY02,SY0203,SY020302,,SY02,SY0204,SY020405,C1667,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,A'zaz,Suran,Ehteimlat,,28,6,Solid_finished_houses_apartments,,NFI,Food,Winterization,SY07,SY0700,SY070000,,SY02,SY0204,SY020405,C1667,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,A'zaz,Suran,Ehteimlat,,26,5,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0700,SY070000,,SY02,SY0204,SY020405,C1667,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,A'zaz,Suran,Kafra (Suran),,20,4,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0202,SY020200,,SY02,SY0204,SY020405,C1672,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,A'zaz,Suran,Kafra (Suran),,15,3,Solid_finished_houses_apartments,,Winterization,Livelihoods,Cash,SY02,SY0203,SY020300,,SY02,SY0204,SY020405,C1672,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Suran,Kafra (Suran),,24,5,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0204,SY020400,,SY02,SY0204,SY020405,C1672,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,A'zaz,Suran,Kafra (Suran),,25,5,Solid_finished_houses_apartments,,Winterization,Livelihoods,Cash,SY02,SY0204,SY020400,,SY02,SY0204,SY020405,C1672,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,A'zaz,Suran,Kafra (Suran),,10,2,Solid_finished_houses_apartments,,Winterization,Livelihoods,Cash,SY07,SY0700,SY070000,,SY02,SY0204,SY020405,C1672,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Tal Elamara,,13,3,Self_settled_Camp,,Winterization,Shelter,Cash,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2213,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Tal Elamara,,19,4,Self_settled_Camp,,Winterization,Cash,Health,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2213,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Tal Elamara,,21,5,Self_settled_Camp,,Winterization,Shelter,Cash,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2213,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Hjeileh - Jrables,,10,2,Solid_finished_houses_apartments,,WASH,Cash,Winterization,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2215,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Lower Bir,,12,3,Solid_finished_houses_apartments,,WASH,Winterization,Cash,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2216,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Upper Bir,,24,5,Solid_finished_houses_apartments,,WASH,Winterization,Cash,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2216,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Maghayer - Qorq Mghar,,14,3,Solid_finished_houses_apartments,,Winterization,Cash,NFI,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2218,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Jarablus,Halawaniyeh,,15,3,Self_settled_Camp,,WASH,Winterization,Cash,SY02,SY0202,SY020200,,SY02,SY0208,SY020800,C2219,
1-31 December,Aleppo,Al Bab,Ar-Ra'ee,,Aleppo,Jarablus,Jarablus,Halawaniyeh,,5,1,Planned_camp,,WASH,Cash,Winterization,SY02,SY0202,SY020203,,SY02,SY0208,SY020800,C2219,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Jarablus,Jarablus,Halawaniyeh,,10,2,Self_settled_Camp,,WASH,Winterization,Cash,SY02,SY0205,SY020500,,SY02,SY0208,SY020800,C2219,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Halawaniyeh,,15,3,Planned_camp,,WASH,Cash,Winterization,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2219,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Halawaniyeh,,5,1,Self_settled_Camp,,WASH,Winterization,Cash,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2219,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Thahr Elmaghayer,,10,2,Self_settled_Camp,,WASH,NFI,Cash,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2221,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Jarablus,Jamel,,4,1,Self_settled_Camp,,Shelter,Winterization,Cash,SY02,SY0202,SY020200,,SY02,SY0208,SY020800,C2224,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Jarablus,Jarablus,Jamel,,12,3,Self_settled_Camp,,Cash,Winterization,Health,SY02,SY0205,SY020500,,SY02,SY0208,SY020800,C2224,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Jamel,,9,2,Self_settled_Camp,,Shelter,Winterization,Cash,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2224,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Jamel,,8,2,Self_settled_Camp,,Cash,Winterization,Health,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2224,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Jamel,,17,4,Self_settled_Camp,,Shelter,Winterization,Cash,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2224,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Jarablus,Lower Jrables,,18,4,Self_settled_Camp,,Shelter,Winterization,Cash,SY02,SY0202,SY020200,,SY02,SY0208,SY020800,C2226,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Jarablus,Lower Jrables,,9,2,Self_settled_Camp,,Winterization,Cash,Shelter,SY02,SY0202,SY020200,,SY02,SY0208,SY020800,C2226,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Jarablus,Jarablus,Lower Jrables,,13,3,Self_settled_Camp,,Shelter,Winterization,Cash,SY02,SY0203,SY020300,,SY02,SY0208,SY020800,C2226,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Jarablus,Jarablus,Lower Jrables,,4,1,Self_settled_Camp,,Winterization,Cash,Shelter,SY02,SY0205,SY020500,,SY02,SY0208,SY020800,C2226,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Lower Jrables,,9,2,Self_settled_Camp,,Shelter,Winterization,Cash,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2226,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Lower Jrables,,13,3,Self_settled_Camp,,Winterization,Cash,Shelter,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2226,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Jarablus,Jarablus,,43,9,Solid_finished_houses_apartments,,Shelter,Winterization,Cash,SY02,SY0202,SY020200,,SY02,SY0208,SY020800,C2227,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Jarablus,Jarablus,Jarablus,,67,14,Solid_finished_houses_apartments,,Shelter,Winterization,Cash,SY02,SY0203,SY020300,,SY02,SY0208,SY020800,C2227,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Jarablus,Jarablus,Jarablus,,47,10,Solid_finished_houses_apartments,,Winterization,Livelihoods,Cash,SY02,SY0203,SY020300,,SY02,SY0208,SY020800,C2227,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Jarablus,Jarablus,Jarablus,,33,7,Solid_finished_houses_apartments,,Winterization,Livelihoods,Cash,SY02,SY0204,SY020400,,SY02,SY0208,SY020800,C2227,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Jarablus,Jarablus,Jarablus,,38,8,Solid_finished_houses_apartments,,Shelter,Winterization,Cash,SY02,SY0205,SY020500,,SY02,SY0208,SY020800,C2227,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Jarablus,Jarablus,Jarablus,,57,12,Solid_finished_houses_apartments,,Winterization,Livelihoods,Cash,SY02,SY0205,SY020500,,SY02,SY0208,SY020800,C2227,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Jarablus,Jarablus,Himar,,20,4,Solid_finished_houses_apartments,,WASH,Winterization,Cash,SY02,SY0203,SY020302,,SY02,SY0208,SY020800,C2229,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Sreisat,,10,2,Self_settled_Camp,,Winterization,Cash,Health,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2230,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Yusef Elbeik,,9,2,Solid_finished_houses_apartments,,Winterization,Cash,WASH,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2236,
1-31 December,Aleppo,Menbij,Menbij,,Aleppo,Jarablus,Jarablus,Marma Elhajar,,13,3,Collective_centers_such_as_mosques_schools_etc,,Cash,Winterization,WASH,SY02,SY0205,SY020500,,SY02,SY0208,SY020800,C2238,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Marma Elhajar,,81,19,Collective_centers_such_as_mosques_schools_etc,,Cash,Winterization,WASH,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2238,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Jarablus,Jarablus,Marma Elhajar,,25,5,Collective_centers_such_as_mosques_schools_etc,,Health,WASH,Winterization,SY02,SY0208,SY020800,,SY02,SY0208,SY020800,C2238,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Marma Elhajar,,26,6,Collective_centers_such_as_mosques_schools_etc,,Cash,Winterization,WASH,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2238,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Jarablus,Marma Elhajar,,15,3,Collective_centers_such_as_mosques_schools_etc,,Health,WASH,Winterization,SY02,SY0208,SY020801,,SY02,SY0208,SY020800,C2238,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Ghandorah,Tal Elhajar - Tal Elahamar,,30,5,Solid_finished_houses_apartments,,NFI,Livelihoods,Cash,SY02,SY0202,SY020200,,SY02,SY0208,SY020801,C2244,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Ghandorah,Tal Elhajar - Tal Elahamar,,62,11,Solid_finished_houses_apartments,,NFI,Livelihoods,Winterization,SY02,SY0202,SY020200,,SY02,SY0208,SY020801,C2244,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Jarablus,Ghandorah,Tal Elhajar - Tal Elahamar,,18,3,Solid_finished_houses_apartments,,NFI,Livelihoods,Cash,SY02,SY0204,SY020400,,SY02,SY0208,SY020801,C2244,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Ghandorah,Sheineh,,8,2,Solid_finished_houses_apartments,,Winterization,NFI,Health,SY02,SY0208,SY020801,,SY02,SY0208,SY020801,C2248,
1-31 December,Aleppo,Afrin,Sharan,,Aleppo,Jarablus,Ghandorah,Hajar Elabyad,,7,2,Solid_finished_houses_apartments,,Winterization,NFI,Health,SY02,SY0203,SY020304,,SY02,SY0208,SY020801,C2249,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Ghandorah,Hajar Elabyad,,7,2,Solid_finished_houses_apartments,,Winterization,NFI,Health,SY02,SY0208,SY020801,,SY02,SY0208,SY020801,C2249,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Ghandorah,Ghandorah,,40,7,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0202,SY020200,,SY02,SY0208,SY020801,C2250,
1-31 December,Aleppo,Al Bab,A'rima,,Aleppo,Jarablus,Ghandorah,Ghandorah,,51,9,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0202,SY020206,,SY02,SY0208,SY020801,C2250,
1-31 December,Aleppo,Al Bab,A'rima,,Aleppo,Jarablus,Ghandorah,Ghandorah,,28,5,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0202,SY020206,,SY02,SY0208,SY020801,C2250,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Jarablus,Ghandorah,Ghandorah,,86,15,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY02,SY0203,SY020301,,SY02,SY0208,SY020801,C2250,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Jarablus,Ghandorah,Ghandorah,,57,10,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY07,SY0700,SY070000,,SY02,SY0208,SY020801,C2250,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Jarablus,Ghandorah,Ghandorah,,57,10,Solid_finished_houses_apartments,,NFI,Winterization,Cash,SY07,SY0700,SY070000,,SY02,SY0208,SY020801,C2250,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Ghandorah,Sheib,,9,2,Self_settled_Camp,,Livelihoods,NFI,Health,SY02,SY0208,SY020801,,SY02,SY0208,SY020801,C2253,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Jarablus,Ghandorah,Qadi Jrables,,21,4,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0203,SY020300,,SY02,SY0208,SY020801,C2254,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Jarablus,Ghandorah,Qadi Jrables,,27,5,Solid_finished_houses_apartments,,Livelihoods,NFI,Winterization,SY02,SY0203,SY020301,,SY02,SY0208,SY020801,C2254,
1-31 December,Aleppo,A'zaz,Mare',,Aleppo,Jarablus,Ghandorah,Qadi Jrables,,11,2,Solid_finished_houses_apartments,,NFI,Health,Winterization,SY02,SY0204,SY020403,,SY02,SY0208,SY020801,C2254,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Jarablus,Ghandorah,Qadi Jrables,,22,4,Solid_finished_houses_apartments,,Livelihoods,NFI,Winterization,SY07,SY0700,SY070000,,SY02,SY0208,SY020801,C2254,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Jarablus,Ghandorah,Sabuniyeh (Ghandorah),,23,4,Self_settled_Camp,,NFI,Health,Livelihoods,SY02,SY0202,SY020200,,SY02,SY0208,SY020801,C2255,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Jarablus,Ghandorah,Sabuniyeh (Ghandorah),,44,8,Self_settled_Camp,,Winterization,Livelihoods,NFI,SY02,SY0204,SY020400,,SY02,SY0208,SY020801,C2255,
1-31 December,Aleppo,Jarablus,Ghandorah,,Aleppo,Jarablus,Ghandorah,Sabuniyeh (Ghandorah),,28,5,Self_settled_Camp,,NFI,Health,Livelihoods,SY02,SY0208,SY020801,,SY02,SY0208,SY020801,C2255,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Jarablus,Ghandorah,Little Arab Hasan,,29,5,Open_areas,,NFI,Livelihoods,Winterization,SY02,SY0203,SY020301,,SY02,SY0208,SY020801,C2256,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Jarablus,Ghandorah,Little Arab Hasan,,23,4,Open_areas,,NFI,Livelihoods,Winterization,SY02,SY0204,SY020400,,SY02,SY0208,SY020801,C2256,
1-31 December,Aleppo,Afrin,Sharan,,Aleppo,Jarablus,Ghandorah,Thaheriya Jrables,,22,4,Solid_finished_houses_apartments,,NFI,Winterization,Livelihoods,SY02,SY0203,SY020304,,SY02,SY0208,SY020801,C2257,
